districtid,timeid,cases
BR_Rohtas,15,82
BR_Rohtas,16,54
BR_Saran,1,10
BR_Saran,2,150
BR_Saran,3,262
BR_Saran,4,2650
BR_Saran,5,1880
BR_Saran,6,846
BR_Saran,7,544
BR_Saran,8,421
BR_Saran,9,538
BR_Saran,10,130
BR_Saran,11,24
BR_Saran,12,753
BR_Saran,13,12655
BR_Saran,14,2057
BR_Saran,15,311
BR_Saran,16,36
BR_Siwan,1,38
BR_Siwan,2,207
BR_Siwan,3,521
BR_Siwan,4,1612
BR_Siwan,5,946
BR_Siwan,6,616
BR_Siwan,7,349
BR_Siwan,8,228
BR_Siwan,9,239
BR_Siwan,10,60
BR_Siwan,11,11
BR_Siwan,12,681
BR_Siwan,13,7634
BR_Siwan,14,1884
BR_Siwan,15,139
BR_Siwan,16,30
BR_Vaishali,1,6
BR_Vaishali,2,108
BR_Vaishali,3,279
BR_Vaishali,4,2460
BR_Vaishali,5,955
BR_Vaishali,6,756
BR_Vaishali,7,352
BR_Vaishali,8,333
BR_Vaishali,9,266
BR_Vaishali,10,124
BR_Vaishali,11,37
BR_Vaishali,12,427
BR_Vaishali,13,10956
BR_Vaishali,14,2519
BR_Vaishali,15,185
BR_Vaishali,16,46
CH_Chandigarh,1,191
CH_Chandigarh,2,161
CH_Chandigarh,3,248
CH_Chandigarh,4,1328
CH_Chandigarh,5,6317
CH_Chandigarh,6,5158
CH_Chandigarh,7,2233
CH_Chandigarh,8,3078
CH_Chandigarh,9,1724
CH_Chandigarh,10,800
CH_Chandigarh,11,1858
CH_Chandigarh,12,8889
CH_Chandigarh,13,22058
CH_Chandigarh,14,7117
CH_Chandigarh,15,691
CH_Chandigarh,16,177
CT_Bilaspur,1,1
CT_Bilaspur,2,159
CT_Bilaspur,3,149
CT_Bilaspur,4,651
CT_Bilaspur,5,3800
CT_Bilaspur,6,4661
CT_Bilaspur,7,3669
CT_Bilaspur,8,3338
CT_Bilaspur,9,2687
CT_Bilaspur,10,2376
CT_Bilaspur,11,615
CT_Bilaspur,12,10091
CT_Bilaspur,13,29973
CT_Bilaspur,14,2738
CT_Bilaspur,15,299
CT_Bilaspur,16,264
CT_Durg,1,10
CT_Durg,2,54
CT_Durg,3,166
CT_Durg,4,1088
CT_Durg,5,5270
CT_Durg,6,7415
CT_Durg,7,3360
CT_Durg,8,3455
CT_Durg,9,3408
CT_Durg,10,2913
CT_Durg,11,1723
CT_Durg,12,31526
CT_Durg,13,33258
CT_Durg,14,2260
CT_Durg,15,430
CT_Durg,16,316
CT_Korba,1,28
CT_Korba,2,211
CT_Korba,3,105
CT_Korba,4,152
CT_Korba,5,986
CT_Korba,6,4321
CT_Korba,7,4992
CT_Korba,8,4049
CT_Korba,9,1624
CT_Korba,10,531
CT_Korba,11,251
CT_Korba,12,5927
CT_Korba,13,26646
CT_Korba,14,4209
CT_Korba,15,352
CT_Korba,16,208
CT_Raipur,1,7
CT_Raipur,2,127
CT_Raipur,3,707
CT_Raipur,4,4132
CT_Raipur,5,17633
CT_Raipur,6,15649
CT_Raipur,7,5073
CT_Raipur,8,6008
