Node1,Node2
GJ_chhota udaipur,GJ_vadodara
GJ_chhota udaipur,MH_nandurbar
GJ_chhota udaipur,MP_alirajpur
GJ_dahod,GJ_mahisagar
GJ_dahod,GJ_panchmahal
GJ_dahod,MP_alirajpur
GJ_dahod,MP_jhabua
GJ_dahod,RJ_banswara
GJ_dang,GJ_navsari
GJ_dang,GJ_tapi
GJ_dang,MH_dhule
GJ_dang,MH_nashik
GJ_devbhumi dwarka,GJ_jamnagar
GJ_devbhumi dwarka,GJ_porbandar
GJ_gandhinagar,GJ_kheda
GJ_gandhinagar,GJ_mehsana
GJ_gandhinagar,GJ_sabarkantha
GJ_gir somnath,GJ_junagadh
GJ_jamnagar,GJ_morbi
GJ_jamnagar,GJ_porbandar
GJ_jamnagar,GJ_rajkot
GJ_junagadh,GJ_porbandar
GJ_junagadh,GJ_rajkot
GJ_kheda,GJ_mahisagar
GJ_kheda,GJ_panchmahal
GJ_kheda,GJ_vadodara
GJ_kutch,GJ_morbi
GJ_kutch,GJ_patan
GJ_kutch,GJ_surendranagar
GJ_kutch,RJ_barmer
GJ_kutch,RJ_jalore
GJ_mahisagar,GJ_panchmahal
GJ_mahisagar,RJ_banswara
GJ_mahisagar,RJ_dungarpur
GJ_mehsana,GJ_patan
GJ_mehsana,GJ_sabarkantha
GJ_mehsana,GJ_surendranagar
GJ_morbi,GJ_rajkot
GJ_morbi,GJ_surendranagar
GJ_narmada,GJ_surat
GJ_narmada,GJ_tapi
GJ_narmada,GJ_vadodara
GJ_narmada,MH_nandurbar
GJ_navsari,GJ_surat
GJ_navsari,GJ_tapi
GJ_navsari,GJ_valsad
GJ_navsari,MH_nashik
GJ_panchmahal,GJ_vadodara
GJ_patan,GJ_surendranagar
GJ_porbandar,GJ_rajkot
GJ_rajkot,GJ_surendranagar
GJ_sabarkantha,RJ_sirohi
GJ_sabarkantha,RJ_udaipur
GJ_surat,GJ_tapi
GJ_tapi,MH_dhule
GJ_tapi,MH_nandurbar
GJ_valsad,MH_nashik
GJ_valsad,MH_palghar
HP_bilaspur,MP_anuppur
HP_chamba,HP_kangra
HP_chamba,HP_lahaul and spiti
HP_chamba,JK_doda
HP_chamba,JK_kathua
HP_chamba,JK_kishtwar
HP_chamba,PB_pathankot
HP_kangra,HP_kullu
HP_kangra,HP_lahaul and spiti
HP_kangra,HP_mandi
HP_kangra,HP_una
HP_kangra,PB_gurdaspur
HP_kangra,PB_hoshiarpur
HP_kangra,PB_pathankot
HP_kangra,UP_hamirpur
HP_kinnaur,HP_kullu
HP_kinnaur,HP_lahaul and spiti
HP_kinnaur,HP_shimla
HP_kinnaur,UT_uttarkashi
HP_kullu,HP_lahaul and spiti
HP_kullu,HP_mandi
HP_kullu,HP_shimla
HP_lahaul and spiti,JK_kishtwar
HP_lahaul and spiti,LA_kargil
HP_lahaul and spiti,LA_leh
HP_mandi,HP_bilaspur
HP_mandi,HP_shimla
HP_mandi,HP_solan
HP_mandi,UP_hamirpur
HP_shimla,HP_sirmaur
HP_shimla,HP_solan
HP_shimla,UT_dehradun
HP_shimla,UT_uttarkashi
HP_sirmaur,HP_solan
HP_sirmaur,HR_ambala
HP_sirmaur,HR_panchkula
HP_sirmaur,HR_yamunanagar
HP_sirmaur,UP_saharanpur
HP_sirmaur,UT_dehradun
HP_solan,HP_bilaspur
HP_solan,HR_panchkula
HP_solan,PB_rupnagar
HP_solan,PB_s.a.s. nagar
HP_una,HP_bilaspur
HP_una,PB_hoshiarpur
HP_una,PB_rupnagar
HP_una,UP_hamirpur
HR_ambala,HR_kurukshetra
HR_ambala,HR_panchkula
HR_ambala,HR_yamunanagar
HR_ambala,PB_patiala
HR_ambala,PB_s.a.s. nagar
HR_bhiwani,HR_charkhi dadri
HR_bhiwani,HR_hisar
HR_bhiwani,HR_mahendragarh
HR_bhiwani,HR_rohtak
HR_bhiwani,RJ_churu
HR_bhiwani,RJ_hanumangarh
HR_bhiwani,RJ_jhunjhunu
HR_charkhi dadri,HR_jhajjar
HR_charkhi dadri,HR_mahendragarh
HR_charkhi dadri,HR_rohtak
HR_faridabad,HR_gurugram
HR_faridabad,HR_palwal
HR_faridabad,UP_gautam buddha nagar
