District_Key,State,District,mvacc,fvacc
OR_Nayagarh,Odisha,Nayagarh,208493.0,196156.0
OR_Nuapada,Odisha,Nuapada,160491.0,153735.0
OR_Puri,Odisha,Puri,440737.0,393801.0
OR_Rayagada,Odisha,Rayagada,195726.0,202845.0
OR_Sambalpur,Odisha,Sambalpur,346931.0,300022.0
OR_Subarnapur,Odisha,Subarnapur,151638.0,138248.0
OR_Sundargarh,Odisha,Sundargarh,458199.0,413559.0
PB_Amritsar,Punjab,Amritsar,452315.0,360440.0
PB_Barnala,Punjab,Barnala,98178.0,76442.0
PB_Bathinda,Punjab,Bathinda,227941.0,157781.0
PB_Faridkot,Punjab,Faridkot,120423.0,103003.0
PB_Fatehgarh Sahib,Punjab,Fatehgarh Sahib,126794.0,107148.0
PB_Fazilka,Punjab,Fazilka,139579.0,106593.0
PB_Ferozepur,Punjab,Ferozepur,127566.0,100115.0
PB_Gurdaspur,Punjab,Gurdaspur,376977.0,332649.0
PB_Hoshiarpur,Punjab,Hoshiarpur,495349.0,467582.0
PB_Jalandhar,Punjab,Jalandhar,589702.0,510611.0
PB_Kapurthala,Punjab,Kapurthala,167877.0,143564.0
PB_Ludhiana,Punjab,Ludhiana,945701.0,648034.0
PB_Mansa,Punjab,Mansa,96961.0,69381.0
PB_Moga,Punjab,Moga,159117.0,132469.0
PB_Pathankot,Punjab,Pathankot,187386.0,174459.0
PB_Patiala,Punjab,Patiala,405231.0,324323.0
PB_Rupnagar,Punjab,Rupnagar,148693.0,124639.0
PB_S.A.S. Nagar,Punjab,S.A.S. Nagar,499224.0,336914.0
PB_Sangrur,Punjab,Sangrur,217329.0,162583.0
PB_Shahid Bhagat Singh Nagar,Punjab,Shahid Bhagat Singh Nagar,145677.0,135550.0
PB_Sri Muktsar Sahib,Punjab,Sri Muktsar Sahib,171676.0,132670.0
PB_Tarn Taran,Punjab,Tarn Taran,175742.0,140924.0
PY_Karaikal,Puducherry,Karaikal,53770.0,61715.0
PY_Mahe,Puducherry,Mahe,19653.0,24378.0
PY_Puducherry,Puducherry,Puducherry,287451.0,294662.0
PY_Yanam,Puducherry,Yanam,15795.0,15944.0
